htmlBody,scriptTag,hexadecimalURLs,domainsCount,dotsCount,isAccountTerm,isDearTeam,imagesAsURL,ipUrls,isPayPalTerm,isLoginTerm,isBankTerm,isVerifyTerm,isAgreeTerm,isSuspendTerm,phishingTermsWeight,domainSender,isPhishing
1,1,0,7,3,0,0,121,0,1,0,0,0,0,0,10,0,0
1,0,0,36,2,0,0,11,0,0,0,0,0,0,0,10,1,0
1,1,0,20,2,1,0,16,0,0,0,0,0,0,0,10,0,0
1,0,12,27,4,0,0,6,0,0,0,0,0,1,0,10,1,0
1,0,0,6,2,0,0,66,0,0,0,0,0,0,0,10,0,0
1,1,0,10,2,0,0,223,0,0,0,0,0,0,0,10,1,0
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,10,1,0
1,0,0,40,2,0,0,10,0,0,0,0,0,0,0,10,1,0
1,0,0,3,2,0,1,0,0,1,0,0,0,0,0,10,0,0
1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,10,0,0
1,0,0,37,2,0,0,11,0,0,0,0,0,0,0,10,1,0
1,1,0,11,3,0,0,83,0,0,0,0,0,0,0,10,0,0
1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,10,0,0
1,1,0,20,2,0,0,16,0,0,0,0,0,0,0,10,0,0
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,10,0,0
1,1,0,6,2,0,0,136,0,0,0,0,0,0,0,10,0,0
0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,10,1,0
0,0,0,6,139,0,0,0,0,0,0,0,0,0,0,10,0,0
1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,10,1,0
1,1,0,18,2,0,0,48,0,0,0,0,0,0,0,10,0,0
0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,10,0,0
1,0,0,39,4,0,0,10,0,0,0,0,0,0,0,10,1,0
1,0,0,17,16,1,1,0,0,0,0,0,0,0,0,10,1,0
1,0,0,45,2,0,0,17,0,0,0,0,0,0,0,10,1,0
1,1,0,10,3,0,0,114,0,1,0,0,0,0,0,10,0,0
1,0,0,36,2,0,0,11,0,0,0,0,0,0,0,10,1,0
1,1,0,5,2,0,1,53,0,0,0,0,0,0,0,10,0,0
1,1,0,7,2,0,0,85,0,0,0,0,0,0,0,10,0,0
0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,10,1,0
1,0,0,12,3,0,0,115,0,0,0,0,0,0,0,10,0,0
1,0,0,11,3,0,0,86,0,0,0,0,0,0,0,10,0,0
